Match List,,,,,,,,,,,,
Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,,Opposition,Ground,date
Ireland,won,32,15,17,4,3,2,0,,SouthAfrica,Lansdowne Road,11/11/2006
Ireland,won,21,6,15,2,1,3,0,,Australia,Lansdowne Road,19/11/2006
Ireland,won,61,17,44,8,6,3,0,,PacificIs,Lansdowne Road,26/11/2006
Ireland,won,19,9,10,3,2,0,0,,Wales,Millennium Stadium,04/02/2007
Ireland,lost,17,20,-3,1,0,4,0,,France,Croke Park,11/02/2007
Ireland,won,43,13,30,4,4,5,0,,England,Croke Park,24/02/2007
Ireland,won,19,18,1,1,1,4,0,,Scotland,Murrayfield,10/03/2007
Ireland,won,51,24,27,8,4,1,0,,Italy,Rome,17/03/2007
Ireland,lost,20,22,-2,2,2,2,0,,Argentina,Santa Fe,26/05/2007
Ireland,lost,0,16,-16,0,0,0,0,,Argentina,Buenos Aires,02/06/2007
Ireland,lost,21,31,-10,2,1,3,0,,Scotland,Murrayfield,11/08/2007
Ireland,won,23,20,3,2,2,2,1,,Italy,Belfast,24/08/2007
Ireland,won,32,17,15,5,2,1,0,,Namibia,Bordeaux,09/09/2007
Ireland,won,14,10,4,2,2,0,0,,Georgia,Bordeaux,15/09/2007
Ireland,lost,3,25,-22,0,0,0,1,,France,Stade de France,21/09/2007
Ireland,lost,15,30,-15,2,1,1,0,,Argentina,Parc des Princes,30/09/2007
Ireland,won,16,11,5,1,1,3,0,,Italy,Croke Park,02/02/2008
Ireland,lost,21,26,-5,2,1,3,0,,France,Stade de France,09/02/2008
Ireland,won,34,13,21,5,3,1,0,,Scotland,Croke Park,23/02/2008
Ireland,lost,12,16,-4,0,0,4,0,,Wales,Croke Park,08/03/2008
Ireland,lost,10,33,-23,1,1,1,0,,England,Twickenham,15/03/2008
Ireland,lost,11,21,-10,1,0,2,0,,NewZealand,Wellington,07/06/2008
Ireland,lost,12,18,-6,2,1,0,0,,Australia,Melbourne,14/06/2008
Ireland,won,55,0,55,8,6,1,0,,Canada,Limerick,08/11/2008
Ireland,lost,3,22,-19,0,0,1,0,,NewZealand,Croke Park,15/11/2008
,,,,,,,,,,,,
,,,,,,,,,,,,
Ireland,won,17,3,14,1,0,3,1,,Argentina,Croke Park,22/11/2008
Ireland,won,30,21,9,3,3,3,0,,France,Croke Park,07/02/2009
Ireland,won,38,9,29,5,5,1,0,,Italy,Rome,15/02/2009
Ireland,won,14,13,1,1,0,2,1,,England,Croke Park,28/02/2009
Ireland,won,22,15,7,1,1,4,1,,Scotland,Murrayfield,14/03/2009
Ireland,won,17,15,2,2,2,0,1,,Wales,Millennium Stadium,21/03/2009
Ireland,won,25,6,19,3,2,2,0,,Canada,Vancouver,23/05/2009
Ireland,won,27,10,17,4,2,1,0,,USA,Santa Clara,31/05/2009
Ireland,draw,20,20,0,2,2,2,0,,Australia,Croke Park,15/11/2009
Ireland,won,41,6,35,5,5,2,0,,Fiji,Dublin,21/11/2009
Ireland,won,15,10,5,0,0,5,0,,SouthAfrica,Croke Park,28/11/2009
Ireland,won,29,11,18,2,2,5,0,,Italy,Croke Park,06/02/2010
Ireland,lost,10,33,-23,1,1,1,0,,France,Stade de France,13/02/2010
Ireland,won,20,16,4,3,1,1,0,,England,Twickenham,27/02/2010
Ireland,won,27,12,15,3,0,3,1,,Wales,Croke Park,13/03/2010
Ireland,lost,20,23,-3,2,2,2,0,,Scotland,Croke Park,20/03/2010
Ireland,lost,28,66,-38,4,4,0,0,,NewZealand,New Plymouth,12/06/2010
Ireland,lost,15,22,-7,0,0,5,0,,Australia,Brisbane,26/06/2010
Ireland,lost,21,23,-2,2,1,3,0,,SouthAfrica,Lansdowne Road,06/11/2010
Ireland,won,20,10,10,2,2,2,0,,Samoa,Lansdowne Road,13/11/2010
Ireland,lost,18,38,-20,2,1,2,0,,NewZealand,Lansdowne Road,20/11/2010
Ireland,won,29,9,20,2,2,5,0,,Argentina,Lansdowne Road,28/11/2010
Ireland,won,13,11,2,1,1,1,1,,Italy,Rome,05/02/2011
Ireland,lost,22,25,-3,3,2,1,0,,France,Lansdowne Road,13/02/2011
Ireland,won,21,18,3,3,3,0,0,,Scotland,Murrayfield,27/02/2011
Ireland,lost,13,19,-6,1,1,2,0,,Wales,Millennium Stadium,12/03/2011
Ireland,won,24,8,16,2,1,4,0,,England,Lansdowne Road,19/03/2011
Ireland,lost,6,10,-4,0,0,2,0,,Scotland,Murrayfield,06/08/2011
Ireland,lost,12,19,-7,0,0,4,0,,France,Bordeaux,13/08/2011
Ireland,lost,22,26,-4,3,2,1,0,,France,Lansdowne Road,20/08/2011
